Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
Jcat84,,,2118.857143,2080,1,9,19,28
SRF12jul12,,,2149.5,2120,1,1,1,2
blastol,,,2124.846154,2120,1,25,27,52
serge_vw1,,,2052.666667,2040,1,2,1,3
Frankel,,,2008,2000,0,0,1,1
GMShaokhan,,,2108.5,2080,1,2,2,4
Vulpini,,,2060,2040,2,1,2,3
areza,,,2034,2000,2,1,1,2
x014y,,,2007,2000,1,0,1,1
glablabla,,,2078,2040,1,1,0,1
MorozevichA,,,2144,2120,1,3,2,5
fhermann,,,2092.75,2080,2,5,3,8
rubiking,,,2042,2040,1,0,1,1
deda1946,,,2008.5,2000,1,1,1,2
joaoluizmonnerat,,,2007.666667,2000,1,1,2,3
igorxxx,,,2007.5,2000,1,1,1,2
Daddylonglegs,,,2027,2000,1,1,1,2
chesswolf,,,2032,2000,1,1,0,1
DuetKiller,,,2092,2080,1,1,1,2
Seredas,,,2331,2320,1,1,5,6
jeffforever,,,2417,2400,0,1,1,2
JokingHero,,,2042.333333,2040,1,0,1,1
TrialB,,,2056.3,2040,1,12,8,20
Artusik12357,,,2042,2040,1,1,0,1
nuam,,,2024,2000,1,7,10,17
SVIST15,,,2060,2040,1,1,4,5
ayathustra,,,2062.55,2040,1,12,8,20
langyen,,,2071,2040,1,1,0,1
anty,,,2023.666667,2000,3,1,2,3
nafnaf54,,,2192,2160,1,1,0,1
jstraaten,,,2046.153846,2040,1,10,16,26
HydroLux,,,2336,2320,21,0,2,2
baba0,,,2473,2440,21,1,0,1
outlier,,,2062.857143,2040,2,30,26,56
jjvolf79,,,2140,2120,4,1,1,2
fidel_go,,,2062.5,2040,1,9,7,16
kazablanka,,,2026.2,2000,1,3,7,10
take-it-ez,,,2416,2400,1,0,1,1
RPG77,,,2157,2120,1,2,1,3
JaffaCakes,,,2024,2000,1,1,1,2
55555,,,2020,2000,1,1,0,1
banebojnik,,,2029.333333,2000,25,1,2,3
kknight,,,2059.340909,2040,1,22,22,44
KarelusMaximus,,,2042,2040,22,0,1,1
