Id,Label,timeset,elo,bucket,community,indegree,outdegree,Degree
MisterBiggStuff,,,2279,2240,12,0,2,2
Withouttalent,,,2060,2040,0,1,0,1
modulo,,,2082,2080,0,11,10,21
Choco3000,,,2033,2000,0,0,1,1
yuchen,,,2105.8,2080,0,2,3,5
nimapashikhiriran001,,,2203.666667,2200,6,1,2,3
amirkhanloomorteza12,,,2082.5,2080,0,2,2,4
amirkhanloomorteza20,,,2062,2040,0,0,1,1
Kojokari_Dmitri,,,2309.48,2280,0,9,16,25
hossiganji,,,2034,2000,0,0,1,1
Philidor1792,,,2033.833333,2000,1,1,0,1
Tifus,,,2015.35,2000,3,12,11,23
Chess-mat,,,2001,2000,0,1,0,1
Kudos,,,2064.44898,2040,0,25,24,49
MAKARROS,,,2021.5,2000,0,3,3,6
yhyyyy,,,2064,2040,0,1,0,1
kafana,,,2196.666667,2160,1,6,3,9
ldlan,,,2105.7,2080,1,2,1,3
nnnnnnnn1,,,2110,2080,0,0,1,1
chessfriend90,,,2047,2040,0,0,1,1
NoBanPlease,,,2009.4,2000,0,2,3,5
Matetricks,,,2486.027778,2480,0,0,1,1
